Cell_architecture,Substrate_stack_sequence,ETL_stack_sequence,ETL_additives_compounds,ETL_deposition_procedure,Perovskite_composition_none_stoichiometry_components_in_excess,Perovskite_additives_compounds,Perovskite_deposition_procedure,DMF_DMSO,Perovskite_deposition_quenching_media,HTL_stack_sequence,HTL_additives_compounds,Backcontact_stack_sequence,Backcontact_thickness_list,Perovskite_deposition_solvents_IPA,Perovskite_deposition_thermal_annealing,prob
nip,SLG | FTO,SnO2-np,Undoped,Spin-coating,Pb,KSCN,Spin-coating,0.7781703360654287,Chlorobenzene,PTAA,Li-TFSI,Al,316.3309961185282,0,60; 80-1.5; 2.0,0.9513872075899567
nip,SLG | FTO,SnO2-c,La,Spin-coating,NH4Cl,DA2PbI4,Spin-coating,0.7206776978468032,Chlorobenzene,PTAA,Li-TFSI; Polystyrene; TBP,Ag,381.97610676581326,0,100.0-144.0,0.9513658355755521
nip,SLG | FTO,TiO2-c,Fe,Spin-coating,PbI2,PbAc2,Spin-coating,0.9480838950060352,Diethyl ether,PTAA,Li-TFSI,AgAl,126.08490615638638,0,100.0-8.0,0.9513597071968252
pin,SLG | ITO,PCBM-60 | bis-C60,Undoped,Spin-coating | Spin-coating,Stoichiometric,HATNA,Spin-coating,0.9769507572990347,Diethyl ether,PTAA,TAPC,AgAl,377.57750477747885,0,25; 90-30.0; 150.0,0.9512143662381563
pin,SLG | ITO,PCBM-60 | LiF,Undoped,Spin-coating | Evaporation,Stoichiometric,Cs,Spin-coating,0.7171409231065812,Diethyl ether,PTAA,F8BT,AgAl,86.89183979243704,0,65.0; 100.0-2.0; 3.0,0.9512071676710848
pin,SLG | ITO,PCBM-60 | LiF,DIO,Spin-coating | Evaporation,Stoichiometric,AgI,Spin-coating >> CBD,0.7631179417916064,Chlorobenzene,PTAA,TAPC,AgAl,97.86208256424551,0,60; 100-15.0; 30.0,0.9511638276059489
pin,SLG | ITO,PCBM-60 | LiF,PNDI-2T ,Spin-coating | Evaporation,Stoichiometric,DA2PbI4,Spin-coating,0.7419541167962017,Chlorobenzene,PTAA,PolyTPD,AgAl,107.26332167060116,0,65; 100-1.0; 15.0,0.951023521420754
pin,SLG | ITO,PCBM-60 | LiF,Undoped,Spin-coating | Evaporation,Stoichiometric,Mn,Spin-coating,0.7452639002620597,Chlorobenzene,PTAA,TAPC,AgAl,76.53674772316825,0,60; 80-1.0; 80.0,0.9509785565227014
nip,SLG | FTO,SnO2-np,Guanidinium chloride,Spin-coating,PbI2,FEAI,Spin-coating,0.7877783821341606,Chlorobenzene,PTAA,O2,AgAl,350.45792739258366,0,100.0-180.0,0.9505409859797933
pin,SLG | ITO,PCBM-60 | LiF,Undoped,Spin-coating | Evaporation,Stoichiometric,NMA,Spin-coating,0.9110611628054055,Diethyl ether,PTAA,NPB,AgAl,413.25396878118755,0,60; 100-0.33; 10.0,0.9505171931959777
