Cell_architecture,Substrate_stack_sequence,ETL_stack_sequence,ETL_additives_compounds,ETL_deposition_procedure,Perovskite_composition_perovskite_ABC3_structure,Perovskite_composition_none_stoichiometry_components_in_excess,Perovskite_additives_compounds,Perovskite_deposition_procedure,DMF_DMSO,Perovskite_deposition_quenching_media,Perovskite_deposition_quenching_media_additives_compounds,Perovskite_deposition_solvent_annealing,HTL_stack_sequence,HTL_additives_compounds,HTL_deposition_procedure,Backcontact_stack_sequence,Backcontact_thickness_list,Backcontact_deposition_procedure,JV_default_Voc,JV_default_Jsc,JV_default_FF,JV_default_PCE,Perovskite_deposition_solvents_IPA,Perovskite_deposition_thermal_annealing
nip,SLG | FTO,TiO2-c | TiO2-mp,Undoped,Spray-pyrolys | Spin-coating,1,none,Undoped,Spin-coating,0.8,Chlorobenzene,Undoped,0,Spiro-MeOTAD,FK209; Li-TFSI; TBP,Spin-coating,Au,80.0,Evaporation,1.1,19.9,0.77,17.43,0,100.0-30.0
nip,SLG | FTO,TiO2-c | TiO2-mp,Undoped,Spray-pyrolys | Spin-coating,1,none,PEG-[60]fullerenes,Spin-coating,0.8,Chlorobenzene,Undoped,0,Spiro-MeOTAD,FK209; Li-TFSI; TBP,Spin-coating,Au,80.0,Evaporation,0.998,18.15,0.68,12.72,0,100.0-30.0
nip,SLG | FTO,TiO2-c,Undoped,Spin-coating,1,none,Undoped,Spin-coating,1.0,Undoped,Undoped,0,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Au,80.0,Evaporation,0.898,20.7,0.63,11.6,0,100.0-45.0
nip,SLG | ITO,PCBM-60,Undoped,Spin-coating,1,none,Cl,Spin-coating,1.0,Undoped,Undoped,0,PEDOT:PSS,Undoped,Spin-coating,Al,100.0,Evaporation,0.89,18.2,0.636,10.3,0,100.0-5.0
nip,SLG | ITO,ZnO-c,Undoped,Spin-coating,1,none,Undoped,Spin-coating >> CBD,1.0,Undoped,Undoped,0,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Ag,100.0,Evaporation,0.989,18.02,0.51,9.1,1,100.0-60.0
nip,SLG | FTO,TiO2-c | TiO2-mp,Undoped,Spin-coating | Spin-coating,1,none,Undoped,Spin-coating,1.0,Undoped,Undoped,0,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Ag,80.0,Evaporation,0.85,11.51,0.7,6.83,0,100.0-30.0
nip,SLG | FTO,TiO2-c | TiO2-mp,Undoped,Spin-coating | Spin-coating,1,MAI,BAI,Spin-coating,1.0,Undoped,Undoped,0,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Ag,80.0,Evaporation,0.83,12.26,0.7,7.18,0,100.0-30.0
nip,SLG | FTO,TiO2-c | TiO2-mp,Undoped,Spin-coating | Spin-coating,1,MAI,NH4Cl,Spin-coating,1.0,Undoped,Undoped,0,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Ag,80.0,Evaporation,0.86,13.24,0.69,7.91,0,100.0-30.0
pin,SLG | ITO,SnO2-np,Undoped,Spin-coating,1,none,Pb(SCN)2,Dropcasting,0.9,N2,Undoped,0,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Au,100.0,Evaporation,1.09,23.46,0.784,19.3,0,100.0-10.0
nip,SLG | FTO,TiO2-c | TiO2-mp,Undoped,Spray-pyrolys | Spin-coating,1,none,Undoped,Spin-coating,0.0,Chlorobenzene,Undoped,0,Spiro-MeOTAD,FK209; Li-TFSI; TBP,Spin-coating,Ag,80.0,Evaporation,1.12,20.94,0.8,18.83,0,100.0-30.0
nip,SLG | FTO,TiO2-c | TiO2-mp,Undoped,Spray-pyrolys | Spin-coating,1,none,EAPP,Spin-coating,0.0,Chlorobenzene,Undoped,0,Spiro-MeOTAD,FK209; Li-TFSI; TBP,Spin-coating,Ag,80.0,Evaporation,1.09,21.3,0.76,17.61,0,100.0-30.0
nip,SLG | FTO,TiO2-c | TiO2-mp,Undoped,Spray-pyrolys | Spin-coating,1,none,PEA,Spin-coating,0.0,Chlorobenzene,Undoped,0,Spiro-MeOTAD,FK209; Li-TFSI; TBP,Spin-coating,Ag,80.0,Evaporation,1.07,20.53,0.76,16.62,0,100.0-30.0
pin,SLG | ITO,PCBM-60 | BCP,Undoped,Spin-coating | Spin-coating,1,none,Undoped,Spin-coating,0.8,Toluene,Undoped,0,PEDOT:PSS,Undoped,Spin-coating,Ag,100.0,Evaporation,0.885,16.8,0.7,10.5,0,60; 100-10.0; 10.0
pin,SLG | FTO,PCBM-60 | BCP,Undoped,Spin-coating | Spin-coating,1,none,Undoped,Spin-coating,0.8,Toluene,Undoped,0,PEDOT:PSS,Undoped,Spin-coating,Ag,100.0,Evaporation,0.84,14.7,0.722,8.93,0,60; 100-10.0; 10.0
nip,SLG | FTO,TiO2-c | TiO2-mp,Undoped,Spray-pyrolys | Spin-coating,1,none,Undoped,Spin-coating >> CBD,1.0,Undoped,Undoped,0,Spiro-MeOTAD,FK209; Li-TFSI; TBP,Spin-coating,Au,100.0,Evaporation,1.07,19.8,0.65,13.5,1,80.0-15.0
