Cell_architecture,Substrate_stack_sequence,ETL_stack_sequence,ETL_additives_compounds,ETL_deposition_procedure,Perovskite_composition_none_stoichiometry_components_in_excess,Perovskite_additives_compounds,Perovskite_deposition_procedure,DMF_DMSO,Perovskite_deposition_quenching_media,HTL_stack_sequence,HTL_additives_compounds,Backcontact_stack_sequence,Backcontact_thickness_list,Perovskite_deposition_solvents_IPA,Perovskite_deposition_thermal_annealing,prob
nip,SLG | FTO,SnO2-np,Guanidinium chloride,Spin-coating,PbI2,Ni,Spin-coating,0.7831417210966194,Chlorobenzene,PTAA,TPFB,AgAl,297.52498859183584,0,60; 85-1.0; 25.0,0.9285692496110189
nip,SLG | FTO,PCBM-60 | BCP,Undoped,Spin-coating | Spin-coating,PbCl2,SnS-QDs,Spin-coating,0.9995386567365725,Chlorobenzene,PTAA,O2,Ag,108.61466784654363,0,60; 100-1.0; 4.0,0.9285269109044214
nip,SLG | FTO,SnO2-c,La,Spin-coating,Stoichiometric,CdCl2,Spin-coating,0.8718881705918021,Diethyl ether,PTAA,F4-TCNQ,AgAl,70.23272303318377,0,60; 100-30.0; 90.0,0.9281855861067536
nip,SLG | FTO,SnO2-c,SnCl2; MercaptoPropionic acid; Urea,Spin-coating,PbAc2,Rb,Drop-infiltration,0.8798001637122437,Chlorobenzene,PTAA,TPFB,AgAl,107.69966986024306,0,65.0; 100.0-2.0; 3.0,0.9281380015965519
nip,SLG | FTO,SnO2-np,Al,Spin-coating,PbAc2,ABS,Spin-coating,0.9491584144956617,Chlorobenzene,PTAA,LAD,AgAl,446.4641309900466,0,60.0-90.0,0.9279781031409308
nip,SLG | FTO,SnO2-c,Bi2O2S-np,Spin-coating,PbCl2,t-BAI,Spin-coating,0.964057146895319,Diethyl ether,PTAA,O2,Ag,109.61407002379683,0,50; 100-1.0; 10.0,0.9279555445454338
nip,SLG | FTO,SnO2-np,Potassium O-hexyl xanthate,Spin-coating,PbAc2,Isatin-Cl,Spin-coating,0.36043882312661013,Chlorobenzene,PTAA,Li-TFSI,Al,95.67601112163905,0,60; 100-45.0; 50.0,0.9278319684017821
nip,SLG | FTO,PCBM-60,CoSe,Spin-coating,none,ITIC; PCBM-60,Spin-coating,0.7673073727892633,Chlorobenzene,PTAA,O2,AgAl,148.48975774892108,0,60.0-10.0,0.9277495685395027
nip,SLG | FTO,SnO2-c,La,Spin-coating,PbAc2,PbAc,Spin-coating,0.2540625167815179,Chlorobenzene,PTAA,Li-TFSI; Polystyrene; TBP,AgAl,107.58360100614455,0,65.0-1.0,0.9276849325477565
nip,SLG | FTO,TiO2-c | PCBM-60,Undoped,Spin-coating | Spin-coating,PbI2; PbBr2,Diiodooctane,Spin-coating,0.3880890449863434,Chlorobenzene,PTAA,Li-TFSI,AgAl,67.25219962471436,0,60.0-30.0,0.9276491910573212
nip,SLG | FTO,SnO2-c,MoCl5,Spin-coating,PbAc2,E2CA,Spin-coating,0.5646259177055164,Chlorobenzene,PTAA,Li-TFSI; Polystyrene; TBP,AgAl,57.58705379961606,0,60; 100-5.0; 10.0,0.9274918574466183
nip,SLG | FTO,SnO2-np,Potassium O-hexyl xanthate,Spin-coating,MA,beta-cyclodextrin,Spin-coating,0.7080969435279225,Chlorobenzene,PTAA,Li-TFSI,AgAl,135.42671449540978,0,65.0-3.0,0.9272590026965094
nip,SLG | FTO,SnO2-np,Guanidinium chloride,Spin-coating,Stoichiometric,H2O; Ti3C2Tx,Spin-coating,0.9447779848294108,Ethyl acetate,PTAA,LAD,Ag,184.9423598142423,0,65; 100-10.0; 10.0,0.9271486959729904
nip,SLG | FTO,SnO2-np,Undoped,Spin-coating,PbI2; PbBr2,Diiodooctane,Spin-coating >> CBD,0.8049619244516875,Chlorobenzene,PTAA,TPFB,AgAl,196.66951797572355,0,100; 120-90.0; 10.0,0.9270753277911362
nip,SLG | FTO,SnO2-c,Undoped,ALD,Stoichiometric,Diiodooctane,Spin-coating,0.8971226361497048,Chlorobenzene,PTAA,LAD,AgAl,76.29600603519229,0,60; 100-1.0; 7.0,0.9270384491793583
nip,SLG | FTO,PCBM-60 | BCP,Undoped,Spin-coating | Evaporation,MA,Cs,Spin-coating,0.8198008017012103,Diethyl ether,P3HT,Li@C60-TFSI; TBP,Al,211.41312756933593,0,65; 100-10.0; 10.0,0.9269053356860296
