Cell_architecture,Substrate_stack_sequence,ETL_stack_sequence,ETL_additives_compounds,ETL_deposition_procedure,Perovskite_composition_none_stoichiometry_components_in_excess,Perovskite_additives_compounds,Perovskite_deposition_procedure,DMF_DMSO,Perovskite_deposition_quenching_media,HTL_stack_sequence,HTL_additives_compounds,Backcontact_stack_sequence,Backcontact_thickness_list,Perovskite_deposition_solvents_IPA,Perovskite_deposition_thermal_annealing,prob
pin,SLG | FTO,PCBM-60 | Bphen,Undoped,Spin-coating | Spin-coating,PbAc2,Butylamineiodide,Spin-coating,0.7872258653925497,Chlorobenzene,PTAA,F8BT,AgAl,103.34100419304201,0,100.0-100.0,0.9073044966108309
pin,SLG | FTO,PCBM-60 | ZnO-np,Undoped,Spin-coating | Spin-coating,PbCl2,SP-3D-COF 2,Spin-coating,0.9314362076171637,Chlorobenzene,PTAA,PolyTPD,MoO3 | Au,160.74055344731156,0,120-10.0,0.9071236882622902
pin,SLG | FTO,C60 | BCP,Undoped,Evaporation | Evaporation,PbCl2,SP-3D-COF 2,Spin-coating,0.7707881580956332,Chlorobenzene,PTAA,F4-TCNQ,AgAl,250.40441207518055,0,100.0-25.0,0.9069591188689885
pin,SLG | FTO,PCBM-60,PEI,Spin-coating,PbI2,Hexamethylphosphoramide,Spin-coating,0.9592131897218046,Chlorobenzene,PTAA,F8BT,AgAl,192.4930413915764,0,100.0-5.0,0.9069089497119887
pin,SLG | FTO,PCBM-60 | Bphen,Undoped,Spin-coating | Evaporation,PbCl2,DCL97,Spin-coating,0.9089991211301407,Chlorobenzene,PTAA,PolyTPD,Ag,95.96401546291665,0,0.0; 90.0-10.0; 50.0,0.9068426067114911
pin,SLG | FTO,PCBM-60 | Bphen,Undoped,Spin-coating | Spin-coating,Pb,Ethyl cellulose,Spin-coating,0.718774040789593,Chlorobenzene,PTAA,F4-TCNQ,Al,436.5147921377411,0,100.0-70.0,0.9066404882248871
pin,SLG | FTO,PCBM-60 | Bphen,Undoped,Spin-coating | Evaporation,PbI2; PbBr2,exMMT,Spin-coating,0.9157677525902811,Diethyl ether,PTAA,NPB,AgAl,104.83296275010841,0,100; 100-10.0; 60.0,0.9066087420038276
pin,SLG | FTO,PCBM-60 | Bphen,Undoped,Spin-coating | Evaporation,PbI2; PbBr2,Butylamineiodide,Spin-coating,0.941212433023202,Chlorobenzene,PTAA,F8BT,AgAl,516.1824405676468,0,65.0; 100.0-2.0; 3.0,0.9063111344263466
pin,SLG | FTO,PCBM-60,DBU,Spin-coating,PbI2; PbBr2,Phenylethyl ammonium iodide,Spin-coating,0.8990124931257234,Chlorobenzene,PTAA,TAPC,AgAl,232.1153087934796,0,60; 85-2.0; 25.0,0.9062699091743318
pin,SLG | FTO,PCBM-60 | Bphen,Undoped,Spin-coating | Evaporation,PbI2,DA2PbI4,Spin-coating,0.7197849647000091,Chlorobenzene,PTAA,F8BT,Ag,140.8369794251035,1,100.0-15.0,0.9060861452291451
pin,SLG | ITO,PCBM-60 | Bphen,Undoped,Spin-coating | Evaporation,PbAc2,Terephthalic acid,Spin-coating >> Spin-coating,0.7400391155654331,Diethyl ether,PTAA,NPB,AgAl,73.29388189430495,0,100.0-1.5,0.9060271702038709
pin,SLG | FTO,PCBM-60,Undoped,Spin-coating | Spin-coating,PbCl2,TDZT,Spin-coating,0.9254940160032834,Chlorobenzene,PTAA,F4-TCNQ,AgAl,118.59868454842373,0,100.0-25.0,0.9059624152519917
pin,SLG | FTO,PCBM-60,bis-C60,Spin-coating,PbI2,TFBA,Spin-coating,0.9420732811496464,Diethyl ether,PTAA,F4-TCNQ,Ag,114.56650989978837,0,100.0-75.0,0.9059240714424649
